# Source     : particleCollector
# Bins       : 30
# Total area : 0.007845909573
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.05623338902 0.02702535087 0.005)	3.138363829e-05
#	1	(0.05385244628 0.03030243741 0.005)	3.138363829e-05
#	2	(0.05 0.03155417309 0.005)	3.138363829e-05
#	3	(0.04614755372 0.03030243741 0.005)	3.138363829e-05
#	4	(0.04376661098 0.02702535087 0.005)	3.138363829e-05
#	5	(0.04376661098 0.02297464913 0.005)	3.138363829e-05
#	6	(0.04614755372 0.01969756259 0.005)	3.138363829e-05
#	7	(0.05 0.01844582691 0.005)	3.138363829e-05
#	8	(0.05385244628 0.01969756259 0.005)	3.138363829e-05
#	9	(0.05623338902 0.02297464913 0.005)	3.138363829e-05
#	10	(0.06736444085 0.03064204885 0.005)	0.000164764101
#	11	(0.06073181464 0.03977107565 0.005)	0.000164764101
#	12	(0.05 0.0432580536 0.005)	0.000164764101
#	13	(0.03926818536 0.03977107565 0.005)	0.000164764101
#	14	(0.03263555915 0.03064204885 0.005)	0.000164764101
#	15	(0.03263555915 0.01935795115 0.005)	0.000164764101
#	16	(0.03926818536 0.01022892435 0.005)	0.000164764101
#	17	(0.05 0.006741946397 0.005)	0.000164764101
#	18	(0.06073181464 0.01022892435 0.005)	0.000164764101
#	19	(0.06736444085 0.01935795115 0.005)	0.000164764101
#	20	(0.08636143598 0.03681454673 0.005)	0.000588443218
#	21	(0.07247260331 0.05593088491 0.005)	0.000588443218
#	22	(0.05 0.06323267635 0.005)	0.000588443218
#	23	(0.02752739669 0.05593088491 0.005)	0.000588443218
#	24	(0.01363856402 0.03681454673 0.005)	0.000588443218
#	25	(0.01363856402 0.01318545327 0.005)	0.000588443218
#	26	(0.02752739669 -0.005930884905 0.005)	0.000588443218
#	27	(0.05 -0.01323267635 0.005)	0.000588443218
#	28	(0.07247260331 -0.005930884905 0.005)	0.000588443218
#	29	(0.08636143598 0.01318545327 0.005)	0.000588443218
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	massFlowRate[29]
0.0001	0	0	0
0.0001	1	0	0
0.0001	2	0	0
0.0001	3	0	0
0.0001	4	0	0
0.0001	5	0	0
0.0001	6	0	0
0.0001	7	0	0
0.0001	8	0	0
0.0001	9	0	0
0.0001	10	0	0
0.0001	11	0	0
0.0001	12	0	0
0.0001	13	0	0
0.0001	14	0	0
0.0001	15	0	0
0.0001	16	0	0
0.0001	17	0	0
0.0001	18	0	0
0.0001	19	0	0
0.0001	20	0	0
0.0001	21	0	0
0.0001	22	0	0
0.0001	23	0	0
0.0001	24	0	0
0.0001	25	0	0
0.0001	26	0	0
0.0001	27	0	0
0.0001	28	0	0
0.0001	29	0	0
0.0002	0	0	0
0.0002	1	0	0
0.0002	2	0	0
0.0002	3	0	0
0.0002	4	0	0
0.0002	5	0	0
0.0002	6	0	0
0.0002	7	0	0
0.0002	8	0	0
0.0002	9	0	0
0.0002	10	0	0
0.0002	11	0	0
0.0002	12	0	0
0.0002	13	0	0
0.0002	14	0	0
0.0002	15	0	0
0.0002	16	0	0
0.0002	17	0	0
0.0002	18	0	0
0.0002	19	0	0
0.0002	20	0	0
0.0002	21	0	0
0.0002	22	0	0
0.0002	23	0	0
0.0002	24	0	0
0.0002	25	0	0
0.0002	26	0	0
0.0002	27	0	0
0.0002	28	0	0
0.0002	29	0	0
0.0003	0	0	0
0.0003	1	0	0
0.0003	2	0	0
0.0003	3	0	0
0.0003	4	0	0
0.0003	5	0	0
0.0003	6	0	0
0.0003	7	0	0
0.0003	8	0	0
0.0003	9	0	0
0.0003	10	0	0
0.0003	11	0	0
0.0003	12	0	0
0.0003	13	0	0
0.0003	14	0	0
0.0003	15	0	0
0.0003	16	0	0
0.0003	17	0	0
0.0003	18	0	0
0.0003	19	0	0
0.0003	20	0	0
0.0003	21	0	0
0.0003	22	0	0
0.0003	23	0	0
0.0003	24	0	0
0.0003	25	0	0
0.0003	26	0	0
0.0003	27	0	0
0.0003	28	0	0
0.0003	29	0	0
0.0004	0	0	0
0.0004	1	0	0
0.0004	2	0	0
0.0004	3	0	0
0.0004	4	0	0
0.0004	5	0	0
0.0004	6	0	0
0.0004	7	0	0
0.0004	8	0	0
0.0004	9	0	0
0.0004	10	0	0
0.0004	11	0	0
0.0004	12	0	0
0.0004	13	0	0
0.0004	14	0	0
0.0004	15	0	0
0.0004	16	0	0
0.0004	17	0	0
0.0004	18	0	0
0.0004	19	0	0
0.0004	20	0	0
0.0004	21	0	0
0.0004	22	0	0
0.0004	23	0	0
0.0004	24	0	0
0.0004	25	0	0
0.0004	26	0	0
0.0004	27	0	0
0.0004	28	0	0
0.0004	29	0	0
0.0005	0	0	0
0.0005	1	0	0
0.0005	2	0	0
0.0005	3	0	0
0.0005	4	0	0
0.0005	5	0	0
0.0005	6	0	0
0.0005	7	0	0
0.0005	8	0	0
0.0005	9	0	0
0.0005	10	0	0
0.0005	11	0	0
0.0005	12	0	0
0.0005	13	0	0
0.0005	14	0	0
0.0005	15	0	0
0.0005	16	1.593178653e-09	1.062119102e-06
0.0005	17	2.534823406e-09	1.689882271e-06
0.0005	18	1.285239751e-09	8.568265009e-07
0.0005	19	0	0
0.0005	20	0	0
0.0005	21	0	0
0.0005	22	0	0
0.0005	23	0	0
0.0005	24	0	0
0.0005	25	0	0
0.0005	26	0	0
0.0005	27	7.965893265e-09	5.31059551e-06
0.0005	28	9.594728015e-10	6.396485343e-07
0.0005	29	0	0
0.0006	0	0	0
0.0006	1	0	0
0.0006	2	0	0
0.0006	3	0	0
0.0006	4	0	0
0.0006	5	0	0
