# Source     : particleCollector
# Bins       : 30
# Total area : 0.007845909573
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.05623338902 0.02702535087 0.005)	3.138363829e-05
#	1	(0.05385244628 0.03030243741 0.005)	3.138363829e-05
#	2	(0.05 0.03155417309 0.005)	3.138363829e-05
#	3	(0.04614755372 0.03030243741 0.005)	3.138363829e-05
#	4	(0.04376661098 0.02702535087 0.005)	3.138363829e-05
#	5	(0.04376661098 0.02297464913 0.005)	3.138363829e-05
#	6	(0.04614755372 0.01969756259 0.005)	3.138363829e-05
#	7	(0.05 0.01844582691 0.005)	3.138363829e-05
#	8	(0.05385244628 0.01969756259 0.005)	3.138363829e-05
#	9	(0.05623338902 0.02297464913 0.005)	3.138363829e-05
#	10	(0.06736444085 0.03064204885 0.005)	0.000164764101
#	11	(0.06073181464 0.03977107565 0.005)	0.000164764101
#	12	(0.05 0.0432580536 0.005)	0.000164764101
#	13	(0.03926818536 0.03977107565 0.005)	0.000164764101
#	14	(0.03263555915 0.03064204885 0.005)	0.000164764101
#	15	(0.03263555915 0.01935795115 0.005)	0.000164764101
#	16	(0.03926818536 0.01022892435 0.005)	0.000164764101
#	17	(0.05 0.006741946397 0.005)	0.000164764101
#	18	(0.06073181464 0.01022892435 0.005)	0.000164764101
#	19	(0.06736444085 0.01935795115 0.005)	0.000164764101
#	20	(0.08636143598 0.03681454673 0.005)	0.000588443218
#	21	(0.07247260331 0.05593088491 0.005)	0.000588443218
#	22	(0.05 0.06323267635 0.005)	0.000588443218
#	23	(0.02752739669 0.05593088491 0.005)	0.000588443218
#	24	(0.01363856402 0.03681454673 0.005)	0.000588443218
#	25	(0.01363856402 0.01318545327 0.005)	0.000588443218
#	26	(0.02752739669 -0.005930884905 0.005)	0.000588443218
#	27	(0.05 -0.01323267635 0.005)	0.000588443218
#	28	(0.07247260331 -0.005930884905 0.005)	0.000588443218
#	29	(0.08636143598 0.01318545327 0.005)	0.000588443218
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	massFlowRate[29]
0.005	0	0	0
0.005	1	0	0
0.005	2	0	0
0.005	3	0	0
0.005	4	0	0
0.005	5	0	0
0.005	6	0	0
0.005	7	0	0
0.005	8	0	0
0.005	9	0	0
0.005	10	0	0
0.005	11	0	0
0.005	12	0	0
0.005	13	0	0
0.005	14	0	0
0.005	15	0	0
0.005	16	0	0
0.005	17	0	0
0.005	18	0	0
0.005	19	0	0
0.005	20	0	0
0.005	21	0	0
0.005	22	0	0
0.005	23	0	0
0.005	24	0	0
0.005	25	0	0
0.005	26	0	0
0.005	27	0	0
0.005	28	0	0
0.005	29	0	0
0.01	0	0	0
0.01	1	0	0
0.01	2	0	0
0.01	3	0	0
0.01	4	0	0
0.01	5	0	0
0.01	6	0	0
0.01	7	0	0
0.01	8	0	0
0.01	9	0	0
0.01	10	0	0
0.01	11	0	0
0.01	12	0	0
0.01	13	0	0
0.01	14	0	0
0.01	15	0	0
0.01	16	0	0
0.01	17	0	0
0.01	18	0	0
0.01	19	0	0
0.01	20	0	0
0.01	21	0	0
0.01	22	0	0
0.01	23	0	0
0.01	24	0	0
0.01	25	0	0
0.01	26	0	0
0.01	27	0	0
0.01	28	0	0
0.01	29	0	0
0.015	0	0	0
0.015	1	0	0
0.015	2	0	0
0.015	3	0	0
0.015	4	0	0
0.015	5	0	0
0.015	6	0	0
0.015	7	0	0
0.015	8	0	0
0.015	9	0	0
0.015	10	0	0
0.015	11	0	0
0.015	12	0	0
0.015	13	0	0
0.015	14	0	0
0.015	15	0	0
0.015	16	0	0
0.015	17	0	0
0.015	18	0	0
0.015	19	0	0
0.015	20	0	0
0.015	21	0	0
0.015	22	0	0
0.015	23	0	0
0.015	24	0	0
0.015	25	0	0
0.015	26	0	0
0.015	27	0	0
0.015	28	0	0
0.015	29	0	0
0.02	0	0	0
0.02	1	0	0
0.02	2	0	0
0.02	3	0	0
0.02	4	0	0
0.02	5	0	0
0.02	6	0	0
0.02	7	0	0
0.02	8	0	0
0.02	9	0	0
0.02	10	0	0
0.02	11	0	0
0.02	12	0	0
0.02	13	0	0
0.02	14	0	0
0.02	15	0	0
0.02	16	0	0
0.02	17	0	0
0.02	18	0	0
0.02	19	0	0
0.02	20	0	0
0.02	21	0	0
0.02	22	0	0
0.02	23	0	0
0.02	24	0	0
0.02	25	0	0
0.02	26	0	0
0.02	27	0	0
0.02	28	0	0
0.02	29	0	0
0.025	0	0	0
0.025	1	0	0
0.025	2	0	0
0.025	3	0	0
0.025	4	0	0
0.025	5	0	0
0.025	6	0	0
0.025	7	0	0
0.025	8	0	0
0.025	9	0	0
0.025	10	0	0
0.025	11	0	0
0.025	12	0	0
0.025	13	0	0
0.025	14	0	0
0.025	15	0	0
0.025	16	0	0
0.025	17	0	0
0.025	18	0	0
0.025	19	0	0
0.025	20	0	0
0.025	21	0	0
0.025	22	0	0
0.025	23	0	0
0.025	24	0	0
0.025	25	0	0
0.025	26	0	0
0.025	27	0	0
0.025	28	0	0
0.025	29	0	0
0.03	0	0	0
0.03	1	0	0
0.03	2	0	0
0.03	3	0	0
0.03	4	0	0
0.03	5	0	0
0.03	6	0	0
0.03	7	0	0
0.03	8	0	0
0.03	9	0	0
0.03	10	0	0
0.03	11	0	0
0.03	12	0	0
0.03	13	0	0
0.03	14	0	0
0.03	15	0	0
0.03	16	0	0
0.03	17	0	0
0.03	18	0	0
0.03	19	0	0
0.03	20	0	0
0.03	21	0	0
0.03	22	0	0
0.03	23	0	0
0.03	24	0	0
0.03	25	0	0
0.03	26	0	0
0.03	27	0	0
0.03	28	0	0
