# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
10            	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
11            	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
12            	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
13            	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
